"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"AT","ACCT130","FINANCIAL ACCOUNTING","2001/09","PDF","https://njtransfer.org/artweb/artup/AT.ACCT130.200109.syl.pdf"
"AT","AERG101","INTRODUCTION TO ENGINEERING","2012/09","MS Word","https://njtransfer.org/artweb/artup/AT.AERG101.201209.syl.docx"
"AT","AERG200","ENGINEERING DESIGN","2012/09","MS Word","https://njtransfer.org/artweb/artup/AT.AERG200.201209.syl.docx"
"AT","AERG201","STATICS","2012/09","MS Word","https://njtransfer.org/artweb/artup/AT.AERG201.201209.syl.docx"
"AT","AERG202","SOLID MECHANICS","2012/09","MS Word","https://njtransfer.org/artweb/artup/AT.AERG202.201209.syl.docx"
"AT","AERG204","DYNAMICS","2012/09","MS Word","https://njtransfer.org/artweb/artup/AT.AERG204.201209.syl.docx"
"AT","ALHT108","FUNDAMENTALS OF NUTRITION","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/AT.ALHT108.200109.syl.txt"
"AT","ALHT160","ESSENTIALS OF CULINARY NUTRITION","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/AT.ALHT160.200109.syl.txt"
"AT","ANTH103","CULTURAL ANTHROPOLOGY","2001/09","PDF","https://njtransfer.org/artweb/artup/AT.ANTH103.200109.syl.pdf"
"AT","ARTS100","COLOR AND 2-D DESIGN","2009/02","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS100.200902.syl.docx"
"AT","ARTS103","ART APPRECIATION","2001/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS103.200109.syl.docx"
"AT","ARTS108","ART HISTORY FROM ANCIENT TIMES TO GOTHIC PERIOD","2001/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS108.200109.syl.docx"
"AT","ARTS109","ART HISTORY FROM THE RENAISSANCE TO THE MODERN ERA","2001/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS109.200109.syl.docx"
"AT","ARTS110","FUNDAMENTAL DRAWING","2008/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS110.200809.syl.docx"
"AT","ARTS111","CRAFTS","2001/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS111.200109.syl.docx"
"AT","ARTS112","INTRODUCTION TO CERAMICS","2008/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS112.200809.syl.doc"
"AT","ARTS115","INTRODUCTION TO THE VISUAL ARTS","2001/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS115.200109.syl.docx"
"AT","ARTS116","GRAPHIC DESIGN","2001/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS116.200109.syl.docx"
"AT","ARTS120","INTRODUCTION TO PRINTMAKING PROCESSES","2008/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS120.200809.syl.doc"
"AT","ARTS124","VISUAL COMMUNICATION","2019/09","PDF","https://njtransfer.org/artweb/artup/AT.ARTS124.201909.syl.pdf"
"AT","ARTS126","FILM HISTORY","2014/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS126.201409.syl.docx"
"AT","ARTS128","INTRODUCTION TO PHOTOGRAPHIC METHODS","2001/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS128.200109.syl.docx"
"AT","ARTS135","ART WITH COMPUTERS","2001/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS135.200109.syl.docx"
"AT","ARTS200","INTERMEDIATE DRAWING","2008/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS200.200809.syl.docx"
"AT","ARTS205","INTRODUCTION TO WATERCOLOR","2008/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS205.200809.syl.docx"
"AT","ARTS206","INTERMEDIATE WATERCOLOR","2008/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS206.200809.syl.docx"
"AT","ARTS207","FIGURE DRAWING","2008/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS207.200809.syl.docx"
"AT","ARTS208","ADVANCED ART WITH COMPUTERS","2001/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS208.200109.syl.docx"
"AT","ARTS209","INTERMEDIATE CERAMICS","2008/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS209.200809.syl.doc"
"AT","ARTS210","OIL AND ACRYLIC PAINTING","2008/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS210.200809.syl.doc"
"AT","ARTS211","MIXED MEDIA PAINTING","2008/09","MS Word","https://njtransfer.org/artweb/artup/AT.ARTS211.200809.syl.doc"
