SI,Course ID,Course Title,Number_of_Non_Transfers,Non_Transferring_To
AT,MATH070,MATH SKILLS REVIEW,10,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
AT,MATH073,INTRODUCTION TO ALGEBRA I - PRE-ALGEBRA,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
AT,MATH074,INTRODUCTION TO ALGEBRA II,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
AT,MATH080,ELEMENTARY ALGEBRA,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
AT,MATH071,FOUNDATIONAL MATH,8,"['CE', 'FM', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
AT,MATH099,ACCELERATED ELEMENTARY ALGEBRA,7,"['FD', 'FM', 'MO', 'NI', 'NU', 'RI', 'RO']"
AT,MATH119,INTERMEDIATE ALGEBRA,2,"['NI', 'RO']"
AT,MATH210,STATISTICS,2,"['MO', 'RI']"
AT,MATH121,APPLICATIONS OF MATHEMATICS,1,['NI']
AT,MATH128,TRIGONOMETRY,1,['NI']
BE,MAT010,BASIC MATHEMATICS SUPPORT,10,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
BE,MAT012,ACCELERATED BASIC MATHEMATICS,10,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
BE,MAT090,INTERMEDIATE ALGEBRA SUPPORT,10,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
BE,MAT091,PRE-CALCULUS SUPPORT,10,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
BE,MAT093,CALCULUS II SUPPORT,10,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
BE,MAT011,BASIC MATHEMATICS,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BE,MAT030,ALGEBRA REVIEW,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BE,MAT031,ALGEBRA A,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BE,MAT032,ALGEBRA B,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BE,MAT033,ALGEBRA A SUPPORT,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BE,MAT034,ALGEBRA B SUPPORT,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BE,MAT035,ALGEBRA,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BE,MAT045,INTERMEDIATE ALGEBRA,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BE,MAT092,CALCULUS I SUPPORT,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM']"
BE,MAT044,ALGEBRA TOPICS,8,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI']"
BE,INF100,KEYBOARDING I,7,"['FD', 'FM', 'KE', 'NI', 'NU', 'RM', 'RO']"
BE,INF113,WORD FOR WINDOWS FUNDAMENTALS,7,"['FD', 'FM', 'KE', 'NI', 'NU', 'RM', 'RO']"
BE,INF200,KEYBOARDING II,7,"['FD', 'FM', 'KE', 'NI', 'NU', 'RM', 'RO']"
BE,INF213,MICROSOFT WORD - COMPREHENSIVE,7,"['FD', 'FM', 'KE', 'NI', 'NU', 'RM', 'RO']"
BE,INF214,ADMINISTRATAIVE SIMULATION,7,"['FD', 'FM', 'KE', 'NI', 'NU', 'RM', 'RO']"
BE,MAT040,ALGEBRA FOR LIBERAL ARTS,7,"['FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI']"
BE,INF216,DOCUMENT PROCESSING,5,"['FD', 'NI', 'NU', 'RM', 'RO']"
BE,INF238,ADVANCED LOTUS/WINDOWS,5,"['NI', 'NU', 'RI', 'RM', 'RO']"
BE,INF250,ADVANCED WEB PUBLISHING WITH HTML,5,"['NI', 'NU', 'RI', 'RM', 'RO']"
BE,INF262,ACCESSING THE INTERNET,5,"['NI', 'NU', 'RI', 'RM', 'RO']"
BE,INF112,MICROSOFT WINDOWS,4,"['NI', 'NU', 'RI', 'RO']"
BE,INF115,DESKTOP PUBLISHING,4,"['KE', 'NI', 'NU', 'RO']"
BE,INF119,DOCUMENT PROCESSING,4,"['KE', 'NI', 'NU', 'RO']"
BE,INF120,POWERPOINT,4,"['KE', 'NI', 'NU', 'RO']"
BE,INF135,MICROCOMPUTER SPREADSHEET: LOTUS,4,"['NI', 'NU', 'RI', 'RO']"
BE,INF142,WINDOWS NT,4,"['NU', 'RI', 'RM', 'RO']"
BE,INF161,INTERNET RESEARCH AND DATA HANDLING,4,"['NI', 'NU', 'RM', 'RO']"
BE,INF170,NETWORK EXPERIENCE,4,"['CE', 'RI', 'RM', 'RO']"
BE,INF225,UNIX OPERATING SYSTEM,4,"['NI', 'NU', 'RM', 'RO']"
BE,CIS461,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),3,"['KE', 'NI', 'NU']"
BE,CIS462,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),3,"['KE', 'NI', 'NU']"
BE,CIS463,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),3,"['KE', 'NI', 'NU']"
BE,INF107,MINICOMPUTER OPERATIONS,3,"['NI', 'RM', 'RO']"
BE,INF124,SPREADSHEET: EXCEL,3,"['NI', 'NU', 'RO']"
BE,INF141,WEB PUBLISHING WITH HTML,3,"['NU', 'RM', 'RO']"
BE,INF143,WEB PUBLISHING,3,"['NU', 'RM', 'RO']"
BE,INF144,WINDOWS DESKTOP OPERATIONS,3,"['NI', 'NU', 'RO']"
BE,INF151,DATABASE: ACCESS,3,"['NI', 'NU', 'RO']"
BE,INF155,UNIX OPERATING SYSTEM,3,"['NI', 'NU', 'RO']"
BE,INF162,INTRODUCTION TO THE INTERNET,3,"['NU', 'RM', 'RO']"
BE,INF163,INTERNET CONCEPTS AND APPLICATIONS,3,"['NI', 'RM', 'RO']"
BE,INF215,OFFICE SIMULATION,3,"['FD', 'NI', 'RO']"
BE,INF226,ADVANCED UNIX,3,"['NI', 'NU', 'RO']"
BE,INF228,EXCEL FOR PROBLEM SOLVING,3,"['NI', 'NU', 'RO']"
BE,INF232,WINDOWS CLIENT,3,"['NI', 'RM', 'RO']"
BE,INF235,"ADVANCED PC UPGRADE, MAINTENANCE AND DIAGNOSIS",3,"['NI', 'RM', 'RO']"
BE,INF245,"DATABASE:SQL, STRUCTURED QUERY LANGUAGE",3,"['NI', 'NU', 'RO']"
BE,INF248,ACTIVEX CONTROL DEVELOPMENT USING VISUAL BASIC,3,"['NI', 'NU', 'RO']"
BE,INF251,ADVANCED ACCESS,3,"['NI', 'NU', 'RO']"
BE,INF252,WINDOWS SERVER,3,"['NI', 'RM', 'RO']"
BE,INF253,TECHNICAL COMMUNICATIONS,3,"['NI', 'RM', 'RO']"
BE,INF255,NETWORK PLANNING AND DESIGN,3,"['NI', 'RM', 'RO']"
BE,INF257,NETWORK TROUBLESHOOTING,3,"['NI', 'RM', 'RO']"
BE,INF258,TCP/IP,3,"['NI', 'RM', 'RO']"
BE,INF260,TECHNICAL SUPPORT OPERATIONS,3,"['NI', 'RM', 'RO']"
BE,INF263,ADVANCED WEB DEVELOPMENT,3,"['NI', 'RM', 'RO']"
BE,INF270,DIGITAL FORENSICS,3,"['CE', 'RM', 'RO']"
BE,INF272,WINDOWS ACTIVE DIRECTORY,3,"['CE', 'RM', 'RO']"
BE,INF273,INTRUSION DETECTION AND PREVENTION,3,"['CE', 'RM', 'RO']"
BE,INF291,CO-OP WORK EXPERIENCE (INFORMATION TECHNOLOGY),3,"['NI', 'NU', 'RO']"
BE,INF292,CO-OP WORK EXPERIENCE (INFORMATION TECHNOLOGY),3,"['NI', 'NU', 'RO']"
BE,INF293,CO-OP WORK EXPERIENCE (INFORMATION TECHNOLOGY),3,"['NI', 'NU', 'RO']"
BE,INF294,CO-OP WORK EXPERIENCE (INFORMATION TECHNOLOGY),3,"['NI', 'NU', 'RO']"
BE,INF461,CO-OP WORK EXPERIENCE (INFORMATION TECHNOLOGY),3,"['NI', 'NU', 'RO']"
BE,INF462,CO-OP WORK EXPERIENCE (INFORMATION TECHNOLOGY),3,"['NI', 'NU', 'RO']"
BE,INF463,CO-OP WORK EXPERIENCE (INFORMATION TECHNOLOGY),3,"['NI', 'NU', 'RO']"
BE,INF464,CO-OP WORK EXPERIENCE (INFORMATION TECHNOLOGY),3,"['NI', 'NU', 'RO']"
BE,MAT461,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),3,"['KE', 'NI', 'NU']"
BE,MAT462,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),3,"['KE', 'NI', 'NU']"
BE,MAT463,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),3,"['KE', 'NI', 'NU']"
BE,INF102,INTRODUCTION TO COMPUTING,2,"['NI', 'RI']"
BE,INF108,PC MAINTENANCE,2,"['RM', 'RO']"
BE,INF114,MICROSOFT OFFICE,2,"['NI', 'RO']"
BE,INF130,TESTING AND QUALITY ASSURANCE,2,"['RI', 'RO']"
BE,INF140,INTRODUCTION TO MULTIMEDIA,2,"['NI', 'RO']"
BE,INF146,WEB DEVELOPMENT,2,"['NI', 'RO']"
BE,INF147,WEB DEVELOPMENT USING DREAMWEAVER,2,"['NI', 'RO']"
BE,INF152,C/C++ PROGRAMMING,2,"['NI', 'RO']"
BE,INF153,JAVA PROGRAMMING,2,"['NI', 'RO']"
BE,INF160,NETWORKING TECHNOLOGIES AND DATA COMMUNICATIONS,2,"['NI', 'RO']"
BE,INF164,NETWORKING FUNDAMENTALS I,2,"['RM', 'RO']"
BE,INF165,INTRODUCTION TO LINUX,2,"['CE', 'RO']"
BE,INF166,INTRODUCTION TO STAROFFICE,2,"['RM', 'RO']"
BE,INF202,COBOL PROGRAMMING,2,"['NI', 'RO']"
BE,INF217,DATABASE FOR APPLICATIONS (ORACLE),2,"['NI', 'RO']"
BE,INF224,ADVANCED C++ PROGRAMMING,2,"['NI', 'RO']"
BE,INF237,INTRODUCTION TO BUSINESS EXPERT SYSTEMS,2,"['NI', 'RO']"
BE,INF239,APPLICATIONS DEVELOPMENT,2,"['NI', 'RO']"
BE,INF241,JAVA FOR BUSINESS APPLICATIONS,2,"['NI', 'RO']"
BE,INF242,RPG/400 PROGRAMMING,2,"['NI', 'RO']"
BE,INF243,ADVANCED RPG/400 PROGRAMMING,2,"['NI', 'RO']"
BE,INF246,ADVANCED VISUAL BASIC PROGRAMMING,2,"['NI', 'RO']"
BE,INF249,VISUAL C++ FOR WINDOWS WITH MFC,2,"['NI', 'RO']"
BE,INF254,UNIX/LINUX FOR NETWORK ADMINISTRATORS,2,"['NI', 'RO']"
BE,INF256,TOPICS IN NETWORKING,2,"['NI', 'RO']"
BE,INF264,NETWORKING FUNDAMENTALS II,2,"['RM', 'RO']"
BE,INF265,NETWORK CONFIGURATION I,2,"['RM', 'RO']"
BE,INF266,NETWORK CONFIGURATION II,2,"['RM', 'RO']"
BE,INF267,NETWORK SECURITY,2,"['RM', 'RO']"
BE,INF271,ETHICAL HACKING,2,"['RM', 'RO']"
BE,CIS158,INTRODUCTION TO COMPUTER SCIENCE,1,['NI']
BE,CIS163,COMPUTER PROGRAMMING: Q BASIC,1,['NI']
BE,CIS271,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE,1,['NI']
BE,CIS278,DATABASE SYSTEMS,1,['NI']
BE,INF101,INTRODUCTION TO INFORMATION TECHNOLOGY,1,['RO']
BE,INF145,VISUAL BASIC PROGRAMMING,1,['RO']
BE,INF150,BUSINESS PROGRAMMING LOGIC,1,['RO']
BE,INF208,SYSTEMS ANALYSIS AND DESIGN,1,['RO']
BE,INF218,DATABASE PROGRAMMING,1,['RO']
BE,INF219,DATABASE ADMINISTRATION,1,['RO']
BE,INF220,VISUAL BASIC PROGRAMMING,1,['RI']
BE,INF230,ADVANCED MULTIMEDIA,1,['RO']
BE,INF240,CLIENT-SIDE SCRIPTING USING JAVASCRIPT,1,['RO']
BE,INF268,ADVANCED JAVA PROGRAMMING,1,['RO']
BE,INF274,WIRELESS NETWORKING,1,['RI']
BE,MAT116,TECHNICAL MATHEMATICS I,1,['NI']
BE,MAT130,CONTEMPORARY MATHEMATICS,1,['NI']
BE,MAT155,FINITE MATHEMATICS,1,['NI']
BE,MAT158,INTRODUCTION TO COMPUTER SCIENCE,1,['NI']
BE,MAT160,INTERMEDIATE ALGEBRA,1,['RI']
BE,MAT163,COMPUTER PROGRAMMING: Q BASIC,1,['NI']
BE,MAT222,TECHNICAL MATHEMATICS II,1,['NI']
BE,MAT272,FORTRAN PROGRAMMING,1,['NI']
BE,MAT274,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE II,1,['NI']
BE,MAT275,COBOL FOR COMPUTER SCIENCE,1,['NI']
BE,MAT278,DATABASE SYSTEMS,1,['NI']
BR,COMP99C,DESIGNING/DEVELOPING WEB SITES,9,"['FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
BR,MATH011,PREALGEBRA - PART I,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BR,MATH012,PREALGEBRA - PART II,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BR,MATH015,PREALGEBRA,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BR,MATH021,INTRODUCTORY ALGEBRA,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BR,MATH022,ALGEBRA SKILLS,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BR,MATH025,ELEMENTARY ALGEBRA,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BR,MATH035,GEOMETRY,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BR,MATH045,MATH STRATEGIES FOR SUCCESS,9,"['CE', 'FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RO']"
BR,COMP190,MCSE WINDOWS 2000 PROFESSIONAL,4,"['MO', 'NI', 'RI', 'RM']"
BR,COMP191,MCSE WINDOWS 2000 SERVER,4,"['MO', 'NI', 'RI', 'RM']"
BR,COMP192,MCSE WINDOWS 2000 NETWORK INFRASTRUCTURE,4,"['MO', 'NI', 'RI', 'RM']"
BR,COMP193,MCSE WINDOWS 2000 DIRECT SERVICES,4,"['MO', 'NI', 'RI', 'RM']"
BR,COMP194,MCSE DESIGN WINDOWS 2000 DIRECT SERVICES,4,"['MO', 'NI', 'RI', 'RM']"
BR,COMP195,MCSE DESIGN SECURITY WINDOWS 2000,4,"['MO', 'NI', 'RI', 'RM']"
BR,COMP196,MCSE DESIGN WINDOWS 2000 NET INFRASTRUCTURE,4,"['MO', 'NI', 'RI', 'RM']"
BR,COMP131,PROGRAMMING USING COBOL,3,"['NI', 'RI', 'RO']"
BR,COMP235,PROGRAMMING FOR MOBILE DEVICES,3,"['CE', 'NI', 'RI']"
BR,COMP295,SPECIAL PROJECT - COMPUTER SCIENCE,3,"['NI', 'NU', 'RI']"
BR,COMP299,COMPUTER SCIENCE INTERNSHIP,3,"['CE', 'NI', 'RI']"
BR,MATH299,MATHEMATICS INTERNSHIP,3,"['CE', 'NI', 'RI']"
BR,COMP101,ADAPTIVE COMPUTER TECHNOLOGY I,2,"['NI', 'RI']"
BR,COMP105,INTRODUCTION TO THE INTERNET,2,"['NI', 'RI']"
BR,COMP140,DESIGNING/DEVELOPING WEB SITES,2,"['NI', 'RI']"
BR,COMP175,GAME DESIGN AND DEVELOPMENT,2,"['RI', 'RM']"
BR,COMP232,ADVANCED COBOL PROGRAMMING,2,"['NI', 'RO']"
BR,COMP238,PROGRAMMING USING PYTHON,2,"['KE', 'NI']"
BR,COMP265,SPREADSHEETS USING EXCEL,2,"['NI', 'RI']"
BR,COMP285,BUSINESS SYSTEMS DESIGN,2,"['NI', 'RI']"
BR,COMP286,MATH/SCIENCE PROJECT,2,"['NI', 'RI']"
BR,MATH132,INTRODUCTION TO DATA SCIENCE + APPLIED STATISTICS,2,"['NI', 'RI']"
BR,MATH151,INTERMEDIATE ALGEBRA,2,"['RI', 'RO']"
BR,COMP116,INTRODUCTION TO DIGITAL PROGRAMMING,1,['RI']
BR,COMP126,COMPUTER LOGIC AND DESIGN,1,['NI']
BR,COMP128,FUNDAMENTALS OF PROGRAMMING,1,['NI']
BR,COMP129,INFORMATION TECHNOLOGY,1,['RO']
BR,COMP132,STRUCTURED PROGRAMMING USING C++,1,['RI']
BR,COMP135,COMPUTER ARCHITECTURE USING ASSEMBLY LANGUAGE,1,['NI']
BR,COMP138,PROGRAMMING USING PYTHON,1,['NI']
BR,COMP171,PROGRAMMING I,1,['NI']
BR,COMP226,SYSTEMS ANALYSIS AND DESIGN,1,['KE']
BR,COMP261,LOCAL AREA NETWORKS,1,['RM']
BR,COMP266,DATA BASE USING ACCESS,1,['NI']
BR,COMP269,DATABASE CONCEPTS,1,['NI']
BR,COMP277,GAME PROGRAMMING II,1,['RM']
BR,COMP296,ADVANCED SOFTWARE PROJECT,1,['RI']
BR,MATH136,MATHEMATICS FOR THE LIBERAL ARTS,1,['NI']
BR,MATH137,FINITE MATHEMATICS,1,['NI']
BR,MATH145,ALGEBRAIC MODELING,1,['NI']
BR,MATH146,ADVANCED TOPICS IN MATHEMATICS FOR THE LIBERAL ART,1,['NI']
BR,MATH153,PRE-CALCULUS MATHEMATICS,1,['NI']
BR,MATH156,MATHEMATICS FOR MANAGEMENT AND THE SOCIAL SCIENCES,1,['NI']
BR,MATH161,TECHNICAL MATHEMATICS I,1,['NI']
BR,MATH162,TECHNICAL MATHEMATICS II,1,['NI']
BR,MATH295,SPECIAL PROJECT - MATHEMATICS,1,['NI']
BU,CIS119,VISUAL PROGRAMMING,9,"['FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
BU,CIS129,MS WORD TECHNIQUES,9,"['FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
BU,MTH012,COLLEGE ALGEBRA CLINIC,9,"['FD', 'FM', 'KE', 'MO', 'NI', 'NU', 'RI', 'RM', 'RO']"
