SI,Course ID,Course Title,RI,EQ 'FN'
AT,MATH070,MATH SKILLS REVIEW,CE,
AT,MATH071,FOUNDATIONAL MATH,CE,
AT,MATH073,INTRODUCTION TO ALGEBRA I - PRE-ALGEBRA,CE,
AT,MATH074,INTRODUCTION TO ALGEBRA II,CE,
AT,MATH080,ELEMENTARY ALGEBRA,CE,
AT,MATH070,MATH SKILLS REVIEW,KE,
AT,MATH073,INTRODUCTION TO ALGEBRA I - PRE-ALGEBRA,KE,
AT,MATH074,INTRODUCTION TO ALGEBRA II,KE,
AT,MATH080,ELEMENTARY ALGEBRA,KE,
AT,MATH070,MATH SKILLS REVIEW,FD,
AT,MATH073,INTRODUCTION TO ALGEBRA I - PRE-ALGEBRA,FD,
AT,MATH074,INTRODUCTION TO ALGEBRA II,FD,
AT,MATH080,ELEMENTARY ALGEBRA,FD,
AT,MATH099,ACCELERATED ELEMENTARY ALGEBRA,FD,
AT,MATH070,MATH SKILLS REVIEW,MO,
AT,MATH071,FOUNDATIONAL MATH,MO,
AT,MATH073,INTRODUCTION TO ALGEBRA I - PRE-ALGEBRA,MO,
AT,MATH074,INTRODUCTION TO ALGEBRA II,MO,
AT,MATH080,ELEMENTARY ALGEBRA,MO,
AT,MATH099,ACCELERATED ELEMENTARY ALGEBRA,MO,
AT,MATH210,STATISTICS,MO,
AT,MATH070,MATH SKILLS REVIEW,NU,
AT,MATH071,FOUNDATIONAL MATH,NU,
AT,MATH073,INTRODUCTION TO ALGEBRA I - PRE-ALGEBRA,NU,
AT,MATH074,INTRODUCTION TO ALGEBRA II,NU,
AT,MATH080,ELEMENTARY ALGEBRA,NU,
AT,MATH099,ACCELERATED ELEMENTARY ALGEBRA,NU,
AT,MATH070,MATH SKILLS REVIEW,RO,
AT,MATH071,FOUNDATIONAL MATH,RO,
AT,MATH073,INTRODUCTION TO ALGEBRA I - PRE-ALGEBRA,RO,
AT,MATH074,INTRODUCTION TO ALGEBRA II,RO,
AT,MATH080,ELEMENTARY ALGEBRA,RO,
AT,MATH099,ACCELERATED ELEMENTARY ALGEBRA,RO,
AT,MATH119,INTERMEDIATE ALGEBRA,RO,
AT,MATH070,MATH SKILLS REVIEW,RI,
AT,MATH071,FOUNDATIONAL MATH,RI,
AT,MATH073,INTRODUCTION TO ALGEBRA I - PRE-ALGEBRA,RI,
AT,MATH074,INTRODUCTION TO ALGEBRA II,RI,
AT,MATH080,ELEMENTARY ALGEBRA,RI,
AT,MATH099,ACCELERATED ELEMENTARY ALGEBRA,RI,
AT,MATH210,STATISTICS,RI,
AT,MATH070,MATH SKILLS REVIEW,FM,
AT,MATH071,FOUNDATIONAL MATH,FM,
AT,MATH073,INTRODUCTION TO ALGEBRA I - PRE-ALGEBRA,FM,
AT,MATH074,INTRODUCTION TO ALGEBRA II,FM,
AT,MATH080,ELEMENTARY ALGEBRA,FM,
AT,MATH099,ACCELERATED ELEMENTARY ALGEBRA,FM,
AT,MATH070,MATH SKILLS REVIEW,RM,
AT,MATH071,FOUNDATIONAL MATH,RM,
AT,MATH070,MATH SKILLS REVIEW,NI,
AT,MATH071,FOUNDATIONAL MATH,NI,
AT,MATH073,INTRODUCTION TO ALGEBRA I - PRE-ALGEBRA,NI,
AT,MATH074,INTRODUCTION TO ALGEBRA II,NI,
AT,MATH080,ELEMENTARY ALGEBRA,NI,
AT,MATH099,ACCELERATED ELEMENTARY ALGEBRA,NI,
AT,MATH119,INTERMEDIATE ALGEBRA,NI,
AT,MATH121,APPLICATIONS OF MATHEMATICS,NI,
AT,MATH128,TRIGONOMETRY,NI,
BE,INF165,INTRODUCTION TO LINUX,CE,
BE,INF170,NETWORK EXPERIENCE,CE,
BE,INF270,DIGITAL FORENSICS,CE,
BE,INF272,WINDOWS ACTIVE DIRECTORY,CE,
BE,INF273,INTRUSION DETECTION AND PREVENTION,CE,
BE,MAT010,BASIC MATHEMATICS SUPPORT,CE,
BE,MAT011,BASIC MATHEMATICS,CE,
BE,MAT012,ACCELERATED BASIC MATHEMATICS,CE,
BE,MAT030,ALGEBRA REVIEW,CE,
BE,MAT031,ALGEBRA A,CE,
BE,MAT032,ALGEBRA B,CE,
BE,MAT033,ALGEBRA A SUPPORT,CE,
BE,MAT034,ALGEBRA B SUPPORT,CE,
BE,MAT035,ALGEBRA,CE,
BE,MAT044,ALGEBRA TOPICS,CE,
BE,MAT045,INTERMEDIATE ALGEBRA,CE,
BE,MAT090,INTERMEDIATE ALGEBRA SUPPORT,CE,
BE,MAT091,PRE-CALCULUS SUPPORT,CE,
BE,MAT092,CALCULUS I SUPPORT,CE,
BE,MAT093,CALCULUS II SUPPORT,CE,
BE,CIS461,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),KE,
BE,CIS462,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),KE,
BE,CIS463,CO-OP WORK EXPERIENCE (COMPUTER SCIENCE),KE,
BE,INF100,KEYBOARDING I,KE,
BE,INF113,WORD FOR WINDOWS FUNDAMENTALS,KE,
BE,INF115,DESKTOP PUBLISHING,KE,
BE,INF119,DOCUMENT PROCESSING,KE,
BE,INF120,POWERPOINT,KE,
BE,INF200,KEYBOARDING II,KE,
BE,INF213,MICROSOFT WORD - COMPREHENSIVE,KE,
BE,INF214,ADMINISTRATAIVE SIMULATION,KE,
BE,MAT010,BASIC MATHEMATICS SUPPORT,KE,
BE,MAT011,BASIC MATHEMATICS,KE,
BE,MAT012,ACCELERATED BASIC MATHEMATICS,KE,
BE,MAT030,ALGEBRA REVIEW,KE,
BE,MAT031,ALGEBRA A,KE,
BE,MAT032,ALGEBRA B,KE,
