"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"SA","ACC121","PRINCIPLES OF ACCOUNTING I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.ACC121.200109.syl.txt"
"SA","ACC122","PRINCIPLES OF ACCOUNTING II","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.ACC122.200109.syl.txt"
"SA","ACC131","PRINCIPLES OF ACCOUNTING I","2019/09","PDF","https://njtransfer.org/artweb/artup/SA.ACC131.201909.syl.pdf"
"SA","ACC132","PRINCIPLES OF ACCOUNTING II","2019/09","PDF","https://njtransfer.org/artweb/artup/SA.ACC132.201909.syl.pdf"
"SA","ACC211","INTERMEDIATE ACCOUNTING I","2024/09","PDF","https://njtransfer.org/artweb/artup/SA.ACC211.202409.syl.pdf"
"SA","ACC212","INTERMEDIATE ACCOUNTING II","2024/09","PDF","https://njtransfer.org/artweb/artup/SA.ACC212.202409.syl.pdf"
"SA","ACC250","COMPUTERIZED ACCOUNTING WITH QUICKBOOKS","2014/02","MS Word","https://njtransfer.org/artweb/artup/SA.ACC250.201402.syl.docx"
"SA","AGR101","INTRODUCTION TO AGRICULTURAL SCIENCE","2021/02","PDF","https://njtransfer.org/artweb/artup/SA.AGR101.202102.syl.pdf"
"SA","AGR111","ANIMAL SCIENCE","2021/02","PDF","https://njtransfer.org/artweb/artup/SA.AGR111.202102.syl.pdf"
"SA","AGR121","PLANT SCIENCE","2024/09","PDF","https://njtransfer.org/artweb/artup/SA.AGR121.202409.syl.pdf"
"SA","ART101","ART APPRECIATION","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.ART101.201309.syl.doc"
"SA","ART104","DRAWING","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.ART104.201309.syl.doc"
"SA","ART105","PAINTING","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.ART105.201309.syl.doc"
"SA","ART112","INTRO TO FLAME WORKING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.ART112.200109.syl.txt"
"SA","ART115","TWO DIMENSIONAL DESIGN","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.ART115.201309.syl.doc"
"SA","ART116","THREE DIMENSIONAL DESIGN","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.ART116.201309.syl.doc"
"SA","ART117","INTERMEDIATE FLAMEWORKING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.ART117.200109.syl.txt"
"SA","ART119","COLOR THEORY","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.ART119.201309.syl.docx"
"SA","ART120","STUDIO GLASS ART I - COLD CONSTRUCTION","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.ART120.200109.syl.txt"
"SA","ART122","STUDIO GLASS ART II - KILN CASTING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.ART122.200109.syl.txt"
"SA","ART130","FIGURE DRAWING","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.ART130.201309.syl.doc"
"SA","ART140","PRINTMAKING","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.ART140.201309.syl.docx"
"SA","ART205","BASIC DIGITAL PHOTOGRAPHY","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.ART205.201309.syl.doc"
"SA","ART212","GLASS ART WITH PAUL STANKARD","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.ART212.200109.syl.txt"
"SA","ART215","EXPLORATIONS IN STUDIO ART","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.ART215.201309.syl.doc"
"SA","ART225","PORTFOLIO AND PROFESSIONAL PRACTICES","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.ART225.201309.syl.doc"
"SA","ART230","GLASS ART SEMINAR WITH PAUL STANKARD","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.ART230.200109.syl.txt"
"SA","ART232","GLASS ART SEMINAR WITH PAUL STANKARD","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.ART232.200109.syl.txt"
"SA","BIO101","GENERAL BIOLOGY I","2001/09","PDF","https://njtransfer.org/artweb/artup/SA.BIO101.200109.syl.pdf"
"SA","BIO102","GENERAL BIOLOGY II","2013/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BIO102.201309.syl.bak"
"SA","BIO102","GENERAL BIOLOGY II","2013/09","PDF","https://njtransfer.org/artweb/artup/SA.BIO102.201309.syl.pdf"
"SA","BIO103","ENVIRONMENTAL SCIENCE I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BIO103.200109.syl.txt"
"SA","BIO104","ENVIRONMENTAL SCIENCE II","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.BIO104.201309.syl.doc"
"SA","BIO121","FOUNDATIONS OF BIOLOGY","2019/09","PDF","https://njtransfer.org/artweb/artup/SA.BIO121.201909.syl.pdf"
"SA","BIO122","CONNECTIONS IN BIOLOGY","2019/09","PDF","https://njtransfer.org/artweb/artup/SA.BIO122.201909.syl.pdf"
"SA","BIO130","CRIME SCENE INVESTIGATIONS I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BIO130.200109.syl.txt"
"SA","BIO140","FORENSIC SCIENCE","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BIO140.200109.syl.txt"
"SA","BIO141","FORENSIC SCIENCE II","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BIO141.200109.syl.txt"
"SA","BIO145","FORENSIC PATHOLOGY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BIO145.200109.syl.txt"
"SA","BIO150","FUNDAMENTALS OF ANATOMY AND PHYSIOLOGY","2013/06","MS Word","https://njtransfer.org/artweb/artup/SA.BIO150.201306.syl.docx"
"SA","BIO200","BIOETHICS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BIO200.200109.syl.txt"
"SA","BIO211","PRINCIPLES OF MICROBIOLOGY","2024/09","PDF","https://njtransfer.org/artweb/artup/SA.BIO211.202409.syl.pdf"
"SA","BIO213","GENERAL ECOLOGY","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.BIO213.201309.syl.docx"
"SA","BIO220","HUMAN ANATOMY AND PHYSIOLOGY I","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.BIO220.201309.syl.doc"
"SA","BIO221","HUMAN ANATOMY AND PHYSIOLOGY II","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.BIO221.201309.syl.doc"
"SA","BIO230","GENETICS","2019/09","PDF","https://njtransfer.org/artweb/artup/SA.BIO230.201909.syl.pdf"
"SA","BTC101","INTRODUCTION TO BIOTECHNOLOGY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BTC101.200109.syl.txt"
"SA","BTC110","BIOTECHNOLOGY LAB METHODS AND TECHNIQUES","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BTC110.200109.syl.txt"
"SA","BTC120","INTRO TO BIOTECHNOLOGY/BASIC LABOR TECHNIQUES","2010/02","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BTC120.201002.syl.txt"
"SA","BTC201","MOLECULAR BIOLOGY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BTC201.200109.syl.txt"
"SA","BUS102","INTRODUCTION TO BUSINESS","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.BUS102.201309.syl.doc"
"SA","BUS103","PRINCIPLES OF MANAGEMENT","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.BUS103.201309.syl.doc"
"SA","BUS106","BUSINESS MATHEMATICS","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.BUS106.201309.syl.doc"
"SA","BUS114","KEYBOARDING/WORD PROCESSING","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.BUS114.201309.syl.doc"
"SA","BUS141","PRINCIPLES OF RETAILING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BUS141.200109.syl.txt"
"SA","BUS151","HUMAN RESOURCE MANAGEMENT","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BUS151.200109.syl.txt"
"SA","BUS153","COMPENSATION ADMINISTRATION","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BUS153.200109.syl.txt"
"SA","BUS203","MANAGMENT INFORMATION SYSTEMS","2024/09","PDF","https://njtransfer.org/artweb/artup/SA.BUS203.202409.syl.pdf"
"SA","BUS205","LEGAL ENVIRONMENT OF BUSINESS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.BUS205.200109.syl.txt"
"SA","BUS211","PRINCIPLES OF FINANCE","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.BUS211.201309.syl.docx"
"SA","BUS212","PRINCIPLES OF MARKETING","2013/09","MS Word","https://njtransfer.org/artweb/artup/SA.BUS212.201309.syl.doc"
"SA","CGA101","INTRODUCTION TO COMPUTER ART","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/SA.CGA101.200109.syl.txt"
