"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"CA","ACC104","FINANCIAL ACCOUNTING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ACC104.200109.syl.txt"
"CA","ACC105","MANAGERIAL ACCOUNTING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ACC105.200109.syl.txt"
"CA","ACC213","COMPUTERIZED ACCOUNTING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ACC213.200109.syl.txt"
"CA","ACC214","INTERMEDIATE ACCOUNTING I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ACC214.200109.syl.txt"
"CA","ACC216","INTERMEDIATE ACCOUNTING II","2001/09","PDF","https://njtransfer.org/artweb/artup/CA.ACC216.200109.syl.pdf"
"CA","ACC223","INCOME TAX ACCOUNTING I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ACC223.200109.syl.txt"
"CA","ACC224","INCOME TAX ACCOUNTING II","2001/09","PDF","https://njtransfer.org/artweb/artup/CA.ACC224.200109.syl.pdf"
"CA","ACC225","AUDITING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ACC225.200109.syl.txt"
"CA","ACC226","ADVANCED ACCOUNTING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ACC226.200109.syl.txt"
"CA","ADD101","INTRODUCTION TO ADDICTIONS","2001/09","PDF","https://njtransfer.org/artweb/artup/CA.ADD101.200109.syl.pdf"
"CA","ADD102","PROFESSIONAL DEVELOPMENT - ADDICTIONS COUNSELING","2001/09","PDF","https://njtransfer.org/artweb/artup/CA.ADD102.200109.syl.pdf"
"CA","ADD103","PEER ADDICTION RECOVERY - CARES","2018/09","MS Word","https://njtransfer.org/artweb/artup/CA.ADD103.201809.syl.docx"
"CA","ADD104","PEER ADDICTION RECOVERY C-CART","2018/09","MS Word","https://njtransfer.org/artweb/artup/CA.ADD104.201809.syl.docx"
"CA","ADD111","PSYCHOLOGICAL-SOCIAL ASPECTS-ALCOHOL AND DRUG ADD","2001/09","PDF","https://njtransfer.org/artweb/artup/CA.ADD111.200109.syl.pdf"
"CA","ADD112","ASSESSMENT/TREATMENT ALCOHOL AND DRUG ADDICTIONS","2001/09","PDF","https://njtransfer.org/artweb/artup/CA.ADD112.200109.syl.pdf"
"CA","AET101","INTRODUCTION TO ENERGY","2010/09","MS Word","https://njtransfer.org/artweb/artup/CA.AET101.201009.syl.doc"
"CA","AET102","PHYSICS OF ENERGY SYSTEMS","2010/09","MS Word","https://njtransfer.org/artweb/artup/CA.AET102.201009.syl.docx"
"CA","AET103","FUNDAMENTALS OF ELECTRICAL ENERGY","2011/02","MS Word","https://njtransfer.org/artweb/artup/CA.AET103.201102.syl.docx"
"CA","AET105","SOLAR ENERGY SYSTEMS","2010/09","MS Word","https://njtransfer.org/artweb/artup/CA.AET105.201009.syl.docx"
"CA","ALH100","INTRODUCTION TO HEALTH CARE PROFESSIONS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ALH100.200109.syl.txt"
"CA","ALH105","ELECTROCARDIOGRAPHY","2001/09","MS Word","https://njtransfer.org/artweb/artup/CA.ALH105.200109.syl.doc"
"CA","ALH110","WAIVED LAB TESTING","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ALH110.200109.syl.txt"
"CA","ALH115","BASIC PHLEBOTOMY TECHNIQUES","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ALH115.200109.syl.txt"
"CA","ALH116","PHLEBOTOMY CLINICAL PRACTICUM","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ALH116.200109.syl.txt"
"CA","ALH119","NURSE AIDE SKILLS","2013/02","MS Word","https://njtransfer.org/artweb/artup/CA.ALH119.201302.syl.doc"
"CA","ALH121","BASIC SKILLS FOR ALLIED HEALTH PROFESSIONALS","2011/02","MS Word","https://njtransfer.org/artweb/artup/CA.ALH121.201102.syl.doc"
"CA","ALH122","CERTIFIED NURSES AIDE","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ALH122.200109.syl.txt"
"CA","ALH125","CERTIFIED NURSE ASSISTANT","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ALH125.200109.syl.txt"
"CA","ALH130","HOME HEALTH AIDES: EXPANDED","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ALH130.200109.syl.txt"
"CA","ALH135","HOMEMAKER HOME HEALTH AIDE","2009/09","MS Word","https://njtransfer.org/artweb/artup/CA.ALH135.200909.syl.doc"
"CA","ALH140","STERILE PROCESSING AND DISTRIBUTION TECHNICIAN","2013/09","MS Word","https://njtransfer.org/artweb/artup/CA.ALH140.201309.syl.doc"
"CA","ALH145","INTRODUCTION TO PUBLIC HEALTH","2013/02","MS Word","https://njtransfer.org/artweb/artup/CA.ALH145.201302.syl.doc"
"CA","ALH171","HEALTH AND SAFETY PART I","2013/02","MS Word","https://njtransfer.org/artweb/artup/CA.ALH171.201302.syl.doc"
"CA","ALH172","HEALTH AND SAFETY PART II","2013/02","MS Word","https://njtransfer.org/artweb/artup/CA.ALH172.201302.syl.doc"
"CA","ALZ101","OVERVIEW MILD COGNITIVE IMPAIRMENT(MCI) ALZHEIMER","2018/09","MS Word","https://njtransfer.org/artweb/artup/CA.ALZ101.201809.syl.docx"
"CA","ALZ102","JOURNEY COORD: PURPOSE AND PROFESSIONALISM","2018/09","MS Word","https://njtransfer.org/artweb/artup/CA.ALZ102.201809.syl.docx"
"CA","ALZ103","INDIVIDUAL APPROACHES TO ENGAGE,CARE AND SUPPORT","2018/09","MS Word","https://njtransfer.org/artweb/artup/CA.ALZ103.201809.syl.docx"
"CA","ALZ104","PRINCIPLES OF SYSTEM NAVIGATION","2018/09","MS Word","https://njtransfer.org/artweb/artup/CA.ALZ104.201809.syl.docx"
"CA","ALZ105","ALZHEIMER'S JOURNEY COORD FIELD WORK","2018/09","MS Word","https://njtransfer.org/artweb/artup/CA.ALZ105.201809.syl.docx"
"CA","ANT101","GENERAL ANTHROPOLOGY","2001/09","PDF","https://njtransfer.org/artweb/artup/CA.ANT101.200109.syl.pdf"
"CA","ANT101H","HONORS GENERAL ANTHROPOLOGY","2008/02","MS Word","https://njtransfer.org/artweb/artup/CA.ANT101H.200802.syl.doc"
"CA","ARA101","ELEMENTARY ARABIC I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ARA101.200109.syl.txt"
"CA","ARA102","ELEMENTARY ARABIC II","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/CA.ARA102.200109.syl.txt"
"CA","ART101","ART APPRECIATION","2001/09","PDF","https://njtransfer.org/artweb/artup/CA.ART101.200109.syl.pdf"
"CA","ART103","VISUAL CULTURE","2009/02","MS Word","https://njtransfer.org/artweb/artup/CA.ART103.200902.syl.doc"
"CA","ART103H","HONORS VISUAL CULTURE","2009/02","MS Word","https://njtransfer.org/artweb/artup/CA.ART103H.200902.syl.doc"
"CA","ART104","INTRODUCTION TO VISUAL ARTS","2009/09","MS Word","https://njtransfer.org/artweb/artup/CA.ART104.200909.syl.doc"
