"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"BR","ACAD081","TRANSITION TO COLLEGE","2010/06","PDF","https://njtransfer.org/artweb/artup/BR.ACAD081.201006.syl.pdf"
"BR","ACAD084","ACADEMIC SKILLS WORKSHOP I","2010/06","PDF","https://njtransfer.org/artweb/artup/BR.ACAD084.201006.syl.pdf"
"BR","ACAD085","ACADEMIC SKILLS WORKSHOP II","2010/06","PDF","https://njtransfer.org/artweb/artup/BR.ACAD085.201006.syl.pdf"
"BR","ACAD086","ACADEMIC SKILLS WORKSHOP III","2010/06","PDF","https://njtransfer.org/artweb/artup/BR.ACAD086.201006.syl.pdf"
"BR","ACAD088","ACADEMIC SKILLS WORKSHOP V: WORD PROCESSING","2010/06","PDF","https://njtransfer.org/artweb/artup/BR.ACAD088.201006.syl.pdf"
"BR","ACAD089","ACADEMIC SKILLS WORKSHOP IV","2010/06","PDF","https://njtransfer.org/artweb/artup/BR.ACAD089.201006.syl.pdf"
"BR","ACCT101","PRINCIPLES OF ACCOUNTING I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ACCT101.200109.syl.pdf"
"BR","ACCT102","PRINCIPLES OF ACCOUNTING II","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ACCT102.200109.syl.pdf"
"BR","ACCT103","COMPUTER APPLICATIONS IN ACCOUNTING I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BR.ACCT103.200109.syl.txt"
"BR","ACCT105","INTRODUCTION TO QUICKBOOKS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BR.ACCT105.200109.syl.txt"
"BR","ACCT112","MANAGERIAL ACCOUNTING","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ACCT112.200109.syl.pdf"
"BR","ACCT115","FEDERAL INCOME TAX","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ACCT115.200109.syl.pdf"
"BR","AMSL101","AMERICAN SIGN LANGUAGE I","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AMSL101.200109.syl.pdf"
"BR","AMSL102","AMERICAN SIGN LANGUAGE II","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.AMSL102.200109.syl.pdf"
"BR","ANTH105","CULTURAL ANTHROPOLOGY","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ANTH105.200109.syl.pdf"
"BR","ANTH106","CULTURES OF THE WORLD","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BR.ANTH106.200109.syl.txt"
"BR","ANTH115","INTRODUCTION TO ARCHAEOLOGY","2001/09","MS Word","https://njtransfer.org/artweb/artup/BR.ANTH115.200109.syl.doc"
"BR","ANTH116","INTRODUCTION TO PHYSICAL ANTHROPOLOGY","2009/06","MS Word","https://njtransfer.org/artweb/artup/BR.ANTH116.200906.syl.doc"
"BR","ANTH125","INTRODUCTION TO HUMAN ECOLOGY","2015/06","MS Word","https://njtransfer.org/artweb/artup/BR.ANTH125.201506.syl.docx"
"BR","ANTH126","INTRODUCTION TO HUMAN ECOLOGY LAB","2015/06","MS Word","https://njtransfer.org/artweb/artup/BR.ANTH126.201506.syl.docx"
"BR","ANTH205","CULTURE AND PERSONALITY","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ANTH205.200109.syl.pdf"
"BR","ANTH216","FIELDWORK IN ARCHAEOLOGY","2002/09","MS Word","https://njtransfer.org/artweb/artup/BR.ANTH216.200209.syl.doc"
"BR","ARAB101","ELEMENTARY ARABIC I","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BR.ARAB101.200109.syl.txt"
"BR","ARAB102","ELEMENTARY ARABIC II","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BR.ARAB102.200109.syl.txt"
"BR","ARCH121","PEOPLE AND THEIR ENVIRONMENT","2001/09","PDF","https://njtransfer.org/artweb/artup/BR.ARCH121.200109.syl.pdf"
"BR","ARCH131","INTRODUCTION TO DESIGN I","2008/06","Text/ASCII","https://njtransfer.org/artweb/artup/BR.ARCH131.200806.syl.txt"
"BR","ARCH132","INTRODUCTION TO DESIGN II","2008/06","Text/ASCII","https://njtransfer.org/artweb/artup/BR.ARCH132.200806.syl.txt"
