"INST.ID","COURSE ID","COURSE TITLE","EFFECTIVE SINCE","FILE TYPE","LINK TO SYLLABUS"
"BE","ACC100","INTRODUCTION TO ACCOUNTING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ACC100.200109.syl.pdf"
"BE","ACC107","FEDERAL TAXATION","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ACC107.200109.syl.pdf"
"BE","ACC110","FINANCIAL ACCOUNTING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ACC110.200109.syl.pdf"
"BE","ACC115","GOVERNMENT AND NOT-FOR-PROFIT ACCOUNTING","2009/09","Text/ASCII","https://njtransfer.org/artweb/artup/BE.ACC115.200909.syl.txt"
"BE","ACC120","COMPUTERIZED ACCOUNTING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ACC120.200109.syl.pdf"
"BE","ACC202","INTERMEDIATE ACCOUNTING I","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ACC202.200109.syl.pdf"
"BE","ACC203","INTERMEDIATE ACCOUNTING II","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ACC203.200109.syl.pdf"
"BE","ACC206","HOSPITALITY ACCOUNTING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ACC206.200109.syl.pdf"
"BE","ACC210","MANAGERIAL ACCOUNTING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ACC210.200109.syl.pdf"
"BE","ACC215","TOPICS IN ACCOUNTING","2011/09","Text/ASCII","https://njtransfer.org/artweb/artup/BE.ACC215.201109.syl.txt"
"BE","ACC220","PEACHTREE ACCOUNTING/EXCEL APPLICATIONS","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BE.ACC220.200109.syl.txt"
"BE","ACC463","CO-OP WORK EXPERIENCE [ACCOUNTING]","2011/09","Text/ASCII","https://njtransfer.org/artweb/artup/BE.ACC463.201109.syl.txt"
"BE","ALH200","HEALTH CAREER SEMINAR","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BE.ALH200.200109.syl.txt"
"BE","ALP004","AMERICAN LANGUAGE FOUNDATIONS:GRAMMAR PART A","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP004.200109.syl.pdf"
"BE","ALP006","AMERICAN LANGUAGE FOUNDATIONS:READING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP006.200109.syl.pdf"
"BE","ALP007","AMERICAN LANGUAGE FOUNDATIONS:WRITING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP007.200109.syl.pdf"
"BE","ALP041","AMERICAN LANGUAGE I:GRAMMAR PART A","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP041.200109.syl.pdf"
"BE","ALP043","AMERICAN LANGUAGE I:WRITING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP043.200109.syl.pdf"
"BE","ALP044","AMERICAN LANGUAGE I:READING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP044.200109.syl.pdf"
"BE","ALP051","AMERICAN LANGUAGE II:GRAMMAR PART A","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP051.200109.syl.pdf"
"BE","ALP053","AMERICAN LANGUAGE II:WRITING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP053.200109.syl.pdf"
"BE","ALP054","AMERICAN LANGUAGE II:READING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP054.200109.syl.pdf"
"BE","ALP055","DIRECTED STUDIES IN AMERICAN LANGUAGE II","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP055.200109.syl.pdf"
"BE","ALP061","AMERICAN LANGUAGE III:GRAMMAR PART A","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP061.200109.syl.pdf"
"BE","ALP063","AMERICAN LANGUAGE III:WRITING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP063.200109.syl.pdf"
"BE","ALP064","AMERICAN LANGUAGE III:READING","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP064.200109.syl.pdf"
"BE","ALP065","DIRECTED STUDIES IN AMERICAN LANGUAGE III","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ALP065.200109.syl.pdf"
"BE","ALP068","TOEFL IBT PREPARATION","2013/02","PDF","https://njtransfer.org/artweb/artup/BE.ALP068.201302.syl.pdf"
"BE","ANT100","INTRODUCTION TO ANTHROPOLOGY","2001/09","Text/ASCII","https://njtransfer.org/artweb/artup/BE.ANT100.200109.syl.txt"
"BE","ANT101","CULTURAL ANTHROPOLOGY","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ANT101.200109.syl.pdf"
"BE","ANT102","INTRODUCTION TO ARCHAEOLOGY","2008/09","Text/ASCII","https://njtransfer.org/artweb/artup/BE.ANT102.200809.syl.txt"
"BE","ANT103","ANTHROPOLOGY OF THE MIDDLE EAST","2008/09","Text/ASCII","https://njtransfer.org/artweb/artup/BE.ANT103.200809.syl.txt"
"BE","ART101","INTRODUCTION TO ART AND VISUAL CULTURE","2001/09","PDF","https://njtransfer.org/artweb/artup/BE.ART101.200109.syl.pdf"
