SI,Course_ID,Course_Title,01_960_463_01,01_960_486_01,CALCULUS_1,CALCULUS_1_152,CS461_SPRING2023,CS462__INTRODUCTION_TO_DEEP_LEARNING,DATA_STRUCTURES,DMDS_DESCRIPTION,INTERMEDIATE_STAT_ANALYSIS_384:484,INTRODUCTION_TO_COMPUTER_SCIENCE,LINEAR_ALGEBRA,RUTGERS_NB_DATA_101_COURSE_DETAILS_AUG_16_2022,STATISTICS_II,STATISTICS_REPORT_01,STAT_METHODS_IN_BUS,SYLLABUS_-_DATA_IN_CONTEXT_-_FALL_2024_-_10516,SYLLABUS_FOR_2021SP_-_DISCRT_II_01_198_206
AT,MATH070,MATH SKILLS REVIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,MATH071,FOUNDATIONAL MATH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,MATH073,INTRODUCTION TO ALGEBRA I - PRE-ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH074,INTRODUCTION TO ALGEBRA II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH080,ELEMENTARY ALGEBRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,MATH099,ACCELERATED ELEMENTARY ALGEBRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT,MATH119,INTERMEDIATE ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH121,APPLICATIONS OF MATHEMATICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH122,COLLEGE ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH128,TRIGONOMETRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH150,PRE-CALCULUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH152,LINEAR ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH153,DISCRETE MATHEMATICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH155,CALCULUS I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH156,CALCULUS II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH210,STATISTICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH220,STATISTICAL METHODS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH225,"CALCULUS FOR BUSINESS, ECONOMICS AND LIFE SCIENCES",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH255,CALCULUS III,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AT,MATH256,DIFFERENTIAL EQUATIONS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,CIS277,DATA STRUCTURES AND ALGORITHMS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,CIS278,DATABASE SYSTEMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,INF151,DATABASE: ACCESS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,INF160,NETWORKING TECHNOLOGIES AND DATA COMMUNICATIONS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,INF161,INTERNET RESEARCH AND DATA HANDLING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,INF217,DATABASE FOR APPLICATIONS (ORACLE),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,INF218,DATABASE PROGRAMMING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,INF219,DATABASE ADMINISTRATION,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,INF245,"DATABASE:SQL, STRUCTURED QUERY LANGUAGE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT010,BASIC MATHEMATICS SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT011,BASIC MATHEMATICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT012,ACCELERATED BASIC MATHEMATICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT030,ALGEBRA REVIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT031,ALGEBRA A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT032,ALGEBRA B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT033,ALGEBRA A SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT034,ALGEBRA B SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT035,ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT040,ALGEBRA FOR LIBERAL ARTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT044,ALGEBRA TOPICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT045,INTERMEDIATE ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,MAT090,INTERMEDIATE ALGEBRA SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT091,PRE-CALCULUS SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT092,CALCULUS I SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT093,CALCULUS II SUPPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,MAT116,TECHNICAL MATHEMATICS I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
